"","Survived","Pclass","Sex","Age","Fare","Embarked","Deck_Level","Title","total_family"
"445",1,3,"male",25,8.1125,"S","S","Mr",0
"446",1,1,"male",4,81.8583,"S","A","Master",2
"447",1,2,"female",13,19.5,"S","M","Miss",1
"448",1,1,"male",34,26.55,"S","C","Mr",0
"449",1,3,"female",5,19.2583,"C","S","Miss",3
"450",1,1,"male",52,30.5,"S","C","Major",0
"451",0,2,"male",36,27.75,"S","C","Mr",3
"452",0,3,"male",25,19.9667,"S","S","Mr",1
"453",0,1,"male",30,27.75,"C","C","Mr",0
"454",1,1,"male",49,89.1042,"C","C","Mr",1
"455",0,3,"male",25,8.05,"S","E","Mr",0
"456",1,3,"male",29,7.8958,"C","S","Mr",0
"457",0,1,"male",65,26.55,"S","E","Mr",0
"458",1,1,"female",35,51.8625,"S","D","Mrs",1
"459",1,2,"female",50,10.5,"S","F","Miss",0
"460",0,3,"male",25,7.75,"Q","F","Mr",0
"461",1,1,"male",48,26.55,"S","E","Mr",0
"462",0,3,"male",34,8.05,"S","E","Mr",0
"463",0,1,"male",47,38.5,"S","E","Mr",0
"464",0,2,"male",48,13,"S","D","Mr",0
"465",0,3,"male",25,8.05,"S","E","Mr",0
"466",0,3,"male",38,7.05,"S","S","Mr",0
"467",0,2,"male",30,0,"S","M","Mr",0
"468",0,1,"male",56,26.55,"S","C","Mr",0
"469",0,3,"male",25,7.725,"Q","S","Mr",0
"470",1,3,"female",0.75,19.2583,"C","S","Miss",3
"471",0,3,"male",25,7.25,"S","S","Mr",0
"472",0,3,"male",38,8.6625,"S","S","Mr",0
"473",1,2,"female",33,27.75,"S","C","Mrs",3
"474",1,2,"female",23,13.7917,"C","D","Mrs",0
"475",0,3,"female",22,9.8375,"S","S","Miss",0
"476",0,1,"male",40,52,"S","A","Mr",0
"477",0,2,"male",34,21,"S","M","Mr",1
"478",0,3,"male",29,7.0458,"S","S","Mr",1
"479",0,3,"male",22,7.5208,"S","S","Mr",0
"480",1,3,"female",2,12.2875,"S","S","Miss",1
"481",0,3,"male",9,46.9,"S","S","Master",7
"482",0,2,"male",30,0,"S","M","Mr",0
"483",0,3,"male",50,8.05,"S","E","Mr",0
"484",1,3,"female",63,9.5875,"S","S","Mrs",0
"485",1,1,"male",25,91.0792,"C","B","Mr",1
"486",0,3,"female",21.5,25.4667,"S","S","Miss",4
"487",1,1,"female",35,90,"S","C","Mrs",1
"488",0,1,"male",58,29.7,"C","B","Mr",0
"489",0,3,"male",30,8.05,"S","E","Mr",0
"490",1,3,"male",9,15.9,"S","S","Master",2
"491",0,3,"male",25,19.9667,"S","S","Mr",1
"492",0,3,"male",21,7.25,"S","S","Mr",0
"493",0,1,"male",55,30.5,"S","C","Mr",0
"494",0,1,"male",71,49.5042,"C","C","Mr",0
"495",0,3,"male",21,8.05,"S","E","Mr",0
"496",0,3,"male",25,14.4583,"C","S","Mr",0
"497",1,1,"female",54,78.2667,"C","D","Miss",1
"498",0,3,"male",25,15.1,"S","S","Mr",0
"499",0,1,"female",25,151.55,"S","C","Mrs",3
"500",0,3,"male",24,7.7958,"S","S","Mr",0
"501",0,3,"male",17,8.6625,"S","S","Mr",0
"502",0,3,"female",21,7.75,"Q","F","Miss",0
"503",0,3,"female",21.5,7.6292,"Q","S","Miss",0
"504",0,3,"female",37,9.5875,"S","S","Miss",0
"505",1,1,"female",16,86.5,"S","B","Miss",0
"506",0,1,"male",18,108.9,"C","C","Mr",1
"507",1,2,"female",33,26,"S","F","Mrs",2
"508",1,1,"male",40,26.55,"S","C","Mr",0
"509",0,3,"male",28,22.525,"S","S","Mr",0
"510",1,3,"male",26,56.4958,"S","S","Mr",0
"511",1,3,"male",29,7.75,"Q","F","Mr",0
"512",0,3,"male",25,8.05,"S","E","Mr",0
"513",1,1,"male",36,26.2875,"S","E","Mr",0
"514",1,1,"female",54,59.4,"C","C","Mrs",1
"515",0,3,"male",24,7.4958,"S","S","Mr",0
"516",0,1,"male",47,34.0208,"S","D","Mr",0
"517",1,2,"female",34,10.5,"S","F","Mrs",0
"518",0,3,"male",25,24.15,"Q","S","Mr",0
"519",1,2,"female",36,26,"S","F","Mrs",1
"520",0,3,"male",32,7.8958,"S","S","Mr",0
"521",1,1,"female",30,93.5,"S","B","Miss",0
"522",0,3,"male",22,7.8958,"S","S","Mr",0
"523",0,3,"male",25,7.225,"C","S","Mr",0
"524",1,1,"female",44,57.9792,"C","B","Mrs",1
"525",0,3,"male",25,7.2292,"C","S","Mr",0
"526",0,3,"male",40.5,7.75,"Q","F","Mr",0
"527",1,2,"female",50,10.5,"S","F","Miss",0
"528",0,1,"male",40,221.7792,"S","C","Mr",0
"529",0,3,"male",39,7.925,"S","S","Mr",0
"530",0,2,"male",23,11.5,"S","M","Mr",3
"531",1,2,"female",2,26,"S","F","Miss",2
"532",0,3,"male",25,7.2292,"C","S","Mr",0
"533",0,3,"male",17,7.2292,"C","S","Mr",2
"534",1,3,"female",21.5,22.3583,"C","F","Mrs",2
"535",0,3,"female",30,8.6625,"S","S","Miss",0
"536",1,2,"female",7,26.25,"S","M","Miss",2
"537",0,1,"male",45,26.55,"S","B","Major",0
"538",1,1,"female",30,106.425,"C","C","Miss",0
"539",0,3,"male",25,14.5,"S","S","Mr",0
"540",1,1,"female",22,49.5,"C","B","Miss",2
"541",1,1,"female",36,71,"S","B","Miss",2
"542",0,3,"female",9,31.275,"S","S","Miss",6
"543",0,3,"female",11,31.275,"S","S","Miss",6
"544",1,2,"male",32,26,"S","F","Mr",1
"545",0,1,"male",50,106.425,"C","C","Mr",1
"546",0,1,"male",64,26,"S","F","Mr",0
"547",1,2,"female",19,26,"S","F","Mrs",1
"548",1,2,"male",30,13.8625,"C","M","Mr",0
"549",0,3,"male",33,20.525,"S","S","Mr",2
"550",1,2,"male",8,36.75,"S","M","Master",2
"551",1,1,"male",17,110.8833,"C","C","Mr",2
"552",0,2,"male",27,26,"S","F","Mr",0
"553",0,3,"male",25,7.8292,"Q","S","Mr",0
"554",1,3,"male",22,7.225,"C","S","Mr",0
"555",1,3,"female",22,7.775,"S","S","Miss",0
"556",0,1,"male",62,26.55,"S","C","Mr",0
"557",1,1,"female",48,39.6,"C","A","Lady",1
"558",0,1,"male",40,227.525,"C","C","Mr",0
"559",1,1,"female",39,79.65,"S","E","Mrs",2
"560",1,3,"female",36,17.4,"S","S","Mrs",1
"561",0,3,"male",25,7.75,"Q","F","Mr",0
"562",0,3,"male",40,7.8958,"S","S","Mr",0
"563",0,2,"male",28,13.5,"S","M","Mr",0
"564",0,3,"male",25,8.05,"S","E","Mr",0
"565",0,3,"female",21.5,8.05,"S","E","Miss",0
"566",0,3,"male",24,24.15,"S","S","Mr",2
"567",0,3,"male",19,7.8958,"S","S","Mr",0
"568",0,3,"female",29,21.075,"S","S","Mrs",4
"569",0,3,"male",25,7.2292,"C","S","Mr",0
"570",1,3,"male",32,7.8542,"S","S","Mr",0
"571",1,2,"male",62,10.5,"S","F","Mr",0
"572",1,1,"female",53,51.4792,"S","C","Mrs",2
"573",1,1,"male",36,26.3875,"S","E","Mr",0
"574",1,3,"female",21.5,7.75,"Q","F","Miss",0
"575",0,3,"male",16,8.05,"S","E","Mr",0
"576",0,3,"male",19,14.5,"S","S","Mr",0
"577",1,2,"female",34,13,"S","D","Miss",0
"578",1,1,"female",39,55.9,"S","E","Mrs",1
"579",0,3,"female",21.5,14.4583,"C","S","Mrs",1
"580",1,3,"male",32,7.925,"S","S","Mr",0
"581",1,2,"female",25,30,"S","A","Miss",2
"582",1,1,"female",39,110.8833,"C","C","Mrs",2
"583",0,2,"male",54,26,"S","F","Mr",0
"584",0,1,"male",36,40.125,"C","A","Mr",0
"585",0,3,"male",25,8.7125,"C","S","Mr",0
"586",1,1,"female",18,79.65,"S","E","Miss",2
"587",0,2,"male",47,15,"S","M","Mr",0
"588",1,1,"male",60,79.2,"C","B","Mr",2
"589",0,3,"male",22,8.05,"S","E","Mr",0
"590",0,3,"male",25,8.05,"S","E","Mr",0
"591",0,3,"male",35,7.125,"S","S","Mr",0
"592",1,1,"female",52,78.2667,"C","D","Mrs",1
"593",0,3,"male",47,7.25,"S","S","Mr",0
"594",0,3,"female",21.5,7.75,"Q","F","Miss",2
"595",0,2,"male",37,26,"S","F","Mr",1
"596",0,3,"male",36,24.15,"S","S","Mr",2
"597",1,2,"female",28,33,"S","M","Miss",0
"598",0,3,"male",49,0,"S","S","Mr",0
"599",0,3,"male",25,7.225,"C","S","Mr",0
"600",1,1,"male",49,56.9292,"C","A","Sir",1
"601",1,2,"female",24,27,"S","M","Mrs",3
"602",0,3,"male",25,7.8958,"S","S","Mr",0
"603",0,1,"male",40,42.4,"S",NA,"Mr",0
"604",0,3,"male",44,8.05,"S","E","Mr",0
"605",1,1,"male",35,26.55,"C","C","Mr",0
"606",0,3,"male",36,15.55,"S","S","Mr",1
"607",0,3,"male",30,7.8958,"S","S","Mr",0
"608",1,1,"male",27,30.5,"S","C","Mr",0
"609",1,2,"female",22,41.5792,"C","M","Mrs",3
"610",1,1,"female",40,153.4625,"S","C","Miss",0
"611",0,3,"female",39,31.275,"S","S","Mrs",6
"612",0,3,"male",25,7.05,"S","S","Mr",0
"613",1,3,"female",21.5,15.5,"Q","S","Miss",1
"614",0,3,"male",25,7.75,"Q","F","Mr",0
"615",0,3,"male",35,8.05,"S","E","Mr",0
"616",1,2,"female",24,65,"S","M","Miss",3
"617",0,3,"male",34,14.4,"S","S","Mr",2
"618",0,3,"female",26,16.1,"S","S","Mrs",1
"619",1,2,"female",4,39,"S","F","Miss",3
"620",0,2,"male",26,10.5,"S","F","Mr",0
"621",0,3,"male",27,14.4542,"C","S","Mr",1
"622",1,1,"male",42,52.5542,"S","D","Mr",1
"623",1,3,"male",20,15.7417,"C","S","Mr",2
"624",0,3,"male",21,7.8542,"S","S","Mr",0
"625",0,3,"male",21,16.1,"S","S","Mr",0
"626",0,1,"male",61,32.3208,"S","D","Mr",0
"627",0,2,"male",57,12.35,"Q","E","Rev",0
"628",1,1,"female",21,77.9583,"S","D","Miss",0
"629",0,3,"male",26,7.8958,"S","S","Mr",0
"630",0,3,"male",25,7.7333,"Q","E","Mr",0
"631",1,1,"male",80,30,"S","A","Mr",0
"632",0,3,"male",51,7.0542,"S","S","Mr",0
"633",1,1,"male",32,30.5,"C","B","Dr",0
"634",0,1,"male",40,0,"S",NA,"Mr",0
"635",0,3,"female",9,27.9,"S","S","Miss",5
"636",1,2,"female",28,13,"S","D","Miss",0
"637",0,3,"male",32,7.925,"S","S","Mr",0
"638",0,2,"male",31,26.25,"S","M","Mr",2
"639",0,3,"female",41,39.6875,"S","S","Mrs",5
"640",0,3,"male",25,16.1,"S","S","Mr",1
"641",0,3,"male",20,7.8542,"S","S","Mr",0
"642",1,1,"female",24,69.3,"C","B","Mlle",0
"643",0,3,"female",2,27.9,"S","S","Miss",5
"644",1,3,"male",25,56.4958,"S","S","Mr",0
"645",1,3,"female",0.75,19.2583,"C","S","Miss",3
"646",1,1,"male",48,76.7292,"C","D","Mr",1
"647",0,3,"male",19,7.8958,"S","S","Mr",0
"648",1,1,"male",56,35.5,"C","A","Col",0
"649",0,3,"male",25,7.55,"S","S","Mr",0
"650",1,3,"female",23,7.55,"S","S","Miss",0
"651",0,3,"male",25,7.8958,"S","S","Mr",0
"652",1,2,"female",18,23,"S","M","Miss",1
"653",0,3,"male",21,8.4333,"S","S","Mr",0
"654",1,3,"female",21.5,7.8292,"Q","S","Miss",0
"655",0,3,"female",18,6.75,"Q","S","Miss",0
"656",0,2,"male",24,73.5,"S","M","Mr",2
"657",0,3,"male",25,7.8958,"S","S","Mr",0
"658",0,3,"female",32,15.5,"Q","S","Mrs",2
"659",0,2,"male",23,13,"S","D","Mr",0
"660",0,1,"male",58,113.275,"C","D","Mr",2
"661",1,1,"male",50,133.65,"S",NA,"Dr",2
"662",0,3,"male",40,7.225,"C","S","Mr",0
"663",0,1,"male",47,25.5875,"S","E","Mr",0
"664",0,3,"male",36,7.4958,"S","S","Mr",0
"665",1,3,"male",20,7.925,"S","S","Mr",1
"666",0,2,"male",32,73.5,"S","M","Mr",2
"667",0,2,"male",25,13,"S","D","Mr",0
"668",0,3,"male",25,7.775,"S","S","Mr",0
"669",0,3,"male",43,8.05,"S","E","Mr",0
"670",1,1,"female",35,52,"S","C","Mrs",1
"671",1,2,"female",40,39,"S","F","Mrs",2
"672",0,1,"male",31,52,"S","B","Mr",1
"673",0,2,"male",70,10.5,"S","F","Mr",0
"674",1,2,"male",31,13,"S","D","Mr",0
"675",0,2,"male",30,0,"S","M","Mr",0
"676",0,3,"male",18,7.775,"S","S","Mr",0
"677",0,3,"male",24.5,8.05,"S","E","Mr",0
"678",1,3,"female",18,9.8417,"S","S","Miss",0
"679",0,3,"female",43,46.9,"S","S","Mrs",7
"680",1,1,"male",36,512.3292,"C","B","Mr",1
"681",0,3,"female",21.5,8.1375,"Q","S","Miss",0
"682",1,1,"male",27,76.7292,"C","D","Mr",0
"683",0,3,"male",20,9.225,"S","S","Mr",0
"684",0,3,"male",14,46.9,"S","S","Mr",7
"685",0,2,"male",60,39,"S","F","Mr",2
"686",0,2,"male",25,41.5792,"C","M","Mr",3
"687",0,3,"male",14,39.6875,"S","S","Mr",5
"688",0,3,"male",19,10.1708,"S","S","Mr",0
"689",0,3,"male",18,7.7958,"S","S","Mr",0
"690",1,1,"female",15,211.3375,"S","B","Miss",1
"691",1,1,"male",31,57,"S","B","Mr",1
"692",1,3,"female",4,13.4167,"C","S","Miss",1
"693",1,3,"male",25,56.4958,"S","S","Mr",0
"694",0,3,"male",25,7.225,"C","S","Mr",0
"695",0,1,"male",60,26.55,"S","C","Col",0
"696",0,2,"male",52,13.5,"S","M","Mr",0
"697",0,3,"male",44,8.05,"S","E","Mr",0
"698",1,3,"female",21.5,7.7333,"Q","E","Miss",0
"699",0,1,"male",49,110.8833,"C","C","Mr",2
"700",0,3,"male",42,7.65,"S","F","Mr",0
"701",1,1,"female",18,227.525,"C","C","Mrs",1
"702",1,1,"male",35,26.2875,"S","E","Mr",0
"703",0,3,"female",18,14.4542,"C","S","Miss",1
"704",0,3,"male",25,7.7417,"Q","S","Mr",0
"705",0,3,"male",26,7.8542,"S","S","Mr",1
"706",0,2,"male",39,26,"S","F","Mr",0
"707",1,2,"female",45,13.5,"S","M","Mrs",0
"708",1,1,"male",42,26.2875,"S","E","Mr",0
"709",1,1,"female",22,151.55,"S","C","Miss",0
"710",1,3,"male",25,15.2458,"C","S","Master",2
"711",1,1,"female",24,49.5042,"C","C","Mlle",0
"712",0,1,"male",40,26.55,"S","C","Mr",0
"713",1,1,"male",48,52,"S","C","Mr",1
"714",0,3,"male",29,9.4833,"S","S","Mr",0
"715",0,2,"male",52,13,"S","D","Mr",0
"716",0,3,"male",19,7.65,"S","F","Mr",0
"717",1,1,"female",38,227.525,"C","C","Miss",0
"718",1,2,"female",27,10.5,"S","E","Miss",0
"719",0,3,"male",25,15.5,"Q","S","Mr",0
"720",0,3,"male",33,7.775,"S","S","Mr",0
"721",1,2,"female",6,33,"S","M","Miss",1
"722",0,3,"male",17,7.0542,"S","S","Mr",1
"723",0,2,"male",34,13,"S","D","Mr",0
"724",0,2,"male",50,13,"S","D","Mr",0
"725",1,1,"male",27,53.1,"S","E","Mr",1
"726",0,3,"male",20,8.6625,"S","S","Mr",0
"727",1,2,"female",30,21,"S","M","Mrs",3
"728",1,3,"female",21.5,7.7375,"Q","S","Miss",0
"729",0,2,"male",25,26,"S","F","Mr",1
"730",0,3,"female",25,7.925,"S","S","Miss",1
"731",1,1,"female",29,211.3375,"S","B","Miss",0
"732",0,3,"male",11,18.7875,"C","S","Mr",0
"733",0,2,"male",30,0,"S","M","Mr",0
"734",0,2,"male",23,13,"S","D","Mr",0
"735",0,2,"male",23,13,"S","D","Mr",0
"736",0,3,"male",28.5,16.1,"S","S","Mr",0
"737",0,3,"female",48,34.375,"S","S","Mrs",4
"738",1,1,"male",35,512.3292,"C","B","Mr",0
"739",0,3,"male",25,7.8958,"S","S","Mr",0
"740",0,3,"male",25,7.8958,"S","S","Mr",0
"741",1,1,"male",40,30,"S","D","Mr",0
"742",0,1,"male",36,78.85,"S","C","Mr",1
"743",1,1,"female",21,262.375,"C","B","Miss",4
"744",0,3,"male",24,16.1,"S","S","Mr",1
"745",1,3,"male",31,7.925,"S","S","Mr",0
"746",0,1,"male",70,71,"S","B","Capt",2
"747",0,3,"male",16,20.25,"S","S","Mr",2
"748",1,2,"female",30,13,"S","D","Miss",0
"749",0,1,"male",19,53.1,"S","D","Mr",1
"750",0,3,"male",31,7.75,"Q","F","Mr",0
"751",1,2,"female",4,23,"S","M","Miss",2
"752",1,3,"male",6,12.475,"S","E","Master",1
"753",0,3,"male",33,9.5,"S","S","Mr",0
"754",0,3,"male",23,7.8958,"S","S","Mr",0
"755",1,2,"female",48,65,"S","M","Mrs",3
"756",1,2,"male",0.67,14.5,"S","M","Master",2
"757",0,3,"male",28,7.7958,"S","S","Mr",0
"758",0,2,"male",18,11.5,"S","M","Mr",0
"759",0,3,"male",34,8.05,"S","E","Mr",0
"760",1,1,"female",33,86.5,"S","B","Countess",0
"761",0,3,"male",25,14.5,"S","S","Mr",0
"762",0,3,"male",41,7.125,"S","S","Mr",0
"763",1,3,"male",20,7.2292,"C","S","Mr",0
"764",1,1,"female",36,120,"S","B","Mrs",3
"765",0,3,"male",16,7.775,"S","S","Mr",0
"766",1,1,"female",51,77.9583,"S","D","Mrs",1
"767",0,1,"male",40,39.6,"C","A","Dr",0
"768",0,3,"female",30.5,7.75,"Q","F","Miss",0
"769",0,3,"male",25,24.15,"Q","S","Mr",1
"770",0,3,"male",32,8.3625,"S","S","Mr",0
"771",0,3,"male",24,9.5,"S","S","Mr",0
"772",0,3,"male",48,7.8542,"S","S","Mr",0
"773",0,2,"female",57,10.5,"S","E","Mrs",0
"774",0,3,"male",25,7.225,"C","S","Mr",0
"775",1,2,"female",54,23,"S","M","Mrs",4
"776",0,3,"male",18,7.75,"S","F","Mr",0
"777",0,3,"male",25,7.75,"Q","F","Mr",0
"778",1,3,"female",5,12.475,"S","E","Miss",0
"779",0,3,"male",25,7.7375,"Q","S","Mr",0
"780",1,1,"female",43,211.3375,"S","B","Mrs",1
"781",1,3,"female",13,7.2292,"C","S","Miss",0
"782",1,1,"female",17,57,"S","B","Mrs",1
"783",0,1,"male",29,30,"S","D","Mr",0
"784",0,3,"male",25,23.45,"S","S","Mr",3
"785",0,3,"male",25,7.05,"S","S","Mr",0
"786",0,3,"male",25,7.25,"S","S","Mr",0
"787",1,3,"female",18,7.4958,"S","S","Miss",0
"788",0,3,"male",8,29.125,"Q","S","Master",5
"789",1,3,"male",1,20.575,"S","S","Master",3
"790",0,1,"male",46,79.2,"C","B","Mr",0
"791",0,3,"male",25,7.75,"Q","F","Mr",0
"792",0,2,"male",16,26,"S","F","Mr",0
"793",0,3,"female",21.5,69.55,"S","S","Miss",10
"794",0,1,"male",40,30.6958,"C","A","Mr",0
"795",0,3,"male",25,7.8958,"S","S","Mr",0
"796",0,2,"male",39,13,"S","D","Mr",0
"797",1,1,"female",49,25.9292,"S","D","Dr",0
"798",1,3,"female",31,8.6833,"S","S","Mrs",0
"799",0,3,"male",30,7.2292,"C","S","Mr",0
"800",0,3,"female",30,24.15,"S","S","Mrs",2
"801",0,2,"male",34,13,"S","D","Mr",0
"802",1,2,"female",31,26.25,"S","M","Mrs",2
"803",1,1,"male",11,120,"S","B","Master",3
"804",1,3,"male",0.42,8.5167,"C","S","Master",1
"805",1,3,"male",27,6.975,"S","S","Mr",0
"806",0,3,"male",31,7.775,"S","S","Mr",0
"807",0,1,"male",39,0,"S","A","Mr",0
"808",0,3,"female",18,7.775,"S","S","Miss",0
"809",0,2,"male",39,13,"S","D","Mr",0
"810",1,1,"female",33,53.1,"S","E","Mrs",1
"811",0,3,"male",26,7.8875,"S","S","Mr",0
"812",0,3,"male",39,24.15,"S","S","Mr",0
"813",0,2,"male",35,10.5,"S","F","Mr",0
"814",0,3,"female",6,31.275,"S","S","Miss",6
"815",0,3,"male",30.5,8.05,"S","E","Mr",0
"816",0,1,"male",40,0,"S","B","Mr",0
"817",0,3,"female",23,7.925,"S","S","Miss",0
"818",0,2,"male",31,37.0042,"C","M","Mr",2
"819",0,3,"male",43,6.45,"S","S","Mr",0
"820",0,3,"male",10,27.9,"S","S","Master",5
"821",1,1,"female",52,93.5,"S","B","Mrs",2
"822",1,3,"male",27,8.6625,"S","S","Mr",0
"823",0,1,"male",38,0,"S",NA,"Jonkheer",0
"824",1,3,"female",27,12.475,"S","E","Mrs",1
"825",0,3,"male",2,39.6875,"S","S","Master",5
"826",0,3,"male",25,6.95,"Q","S","Mr",0
"827",0,3,"male",25,56.4958,"S","S","Mr",0
"828",1,2,"male",1,37.0042,"C","M","Master",2
"829",1,3,"male",25,7.75,"Q","F","Mr",0
"830",1,1,"female",62,80,"","B","Mrs",0
"831",1,3,"female",15,14.4542,"C","S","Mrs",1
"832",1,2,"male",0.83,18.75,"S","M","Master",2
"833",0,3,"male",25,7.2292,"C","S","Mr",0
"834",0,3,"male",23,7.8542,"S","S","Mr",0
"835",0,3,"male",18,8.3,"S","S","Mr",0
"836",1,1,"female",39,83.1583,"C","E","Miss",2
"837",0,3,"male",21,8.6625,"S","S","Mr",0
"838",0,3,"male",25,8.05,"S","E","Mr",0
"839",1,3,"male",32,56.4958,"S","S","Mr",0
"840",1,1,"male",40,29.7,"C","C","Mr",0
"841",0,3,"male",20,7.925,"S","S","Mr",0
"842",0,2,"male",16,10.5,"S","F","Mr",0
"843",1,1,"female",30,31,"C","A","Miss",0
"844",0,3,"male",34.5,6.4375,"C","S","Mr",0
"845",0,3,"male",17,8.6625,"S","S","Mr",0
"846",0,3,"male",42,7.55,"S","S","Mr",0
"847",0,3,"male",25,69.55,"S","S","Mr",10
"848",0,3,"male",35,7.8958,"C","S","Mr",0
"849",0,2,"male",28,33,"S","M","Rev",1
"850",1,1,"female",35,89.1042,"C","C","Mrs",1
"851",0,3,"male",4,31.275,"S","S","Master",6
"852",0,3,"male",74,7.775,"S","S","Mr",0
"853",0,3,"female",9,15.2458,"C","S","Miss",2
"854",1,1,"female",16,39.4,"S","D","Miss",1
"855",0,2,"female",44,26,"S","F","Mrs",1
"856",1,3,"female",18,9.35,"S","S","Mrs",1
"857",1,1,"female",45,164.8667,"S","C","Mrs",2
"858",1,1,"male",51,26.55,"S","E","Mr",0
"859",1,3,"female",24,19.2583,"C","S","Mrs",3
"860",0,3,"male",25,7.2292,"C","S","Mr",0
"861",0,3,"male",41,14.1083,"S","S","Mr",2
"862",0,2,"male",21,11.5,"S","M","Mr",1
"863",1,1,"female",48,25.9292,"S","D","Mrs",0
"864",0,3,"female",21.5,69.55,"S","S","Miss",10
"865",0,2,"male",24,13,"S","D","Mr",0
"866",1,2,"female",42,13,"S","D","Mrs",0
"867",1,2,"female",27,13.8583,"C","M","Miss",1
"868",0,1,"male",31,50.4958,"S","A","Mr",0
"869",0,3,"male",25,9.5,"S","S","Mr",0
"870",1,3,"male",4,11.1333,"S","S","Master",2
"871",0,3,"male",26,7.8958,"S","S","Mr",0
"872",1,1,"female",47,52.5542,"S","D","Mrs",2
"873",0,1,"male",33,5,"S","B","Mr",0
"874",0,3,"male",47,9,"S","S","Mr",0
"875",1,2,"female",28,24,"C","M","Mrs",1
"876",1,3,"female",15,7.225,"C","S","Miss",0
"877",0,3,"male",20,9.8458,"S","S","Mr",0
"878",0,3,"male",19,7.8958,"S","S","Mr",0
"879",0,3,"male",25,7.8958,"S","S","Mr",0
"880",1,1,"female",56,83.1583,"C","C","Mrs",1
"881",1,2,"female",25,26,"S","F","Mrs",1
"882",0,3,"male",33,7.8958,"S","S","Mr",0
"883",0,3,"female",22,10.5167,"S","S","Miss",0
"884",0,2,"male",28,10.5,"S","F","Mr",0
"885",0,3,"male",25,7.05,"S","S","Mr",0
"886",0,3,"female",39,29.125,"Q","S","Mrs",5
"887",0,2,"male",27,13,"S","D","Rev",0
"888",1,1,"female",19,30,"S","B","Miss",0
"889",0,3,"female",21.5,23.45,"S","S","Miss",3
"890",1,1,"male",26,30,"C","C","Mr",0
"891",0,3,"male",32,7.75,"Q","F","Mr",0
